esg_text,NER_Results
"Pe LS aL ||  eM ""  ee  ee Ce  tin ; i  a”  oun 2140?","{'numbers': [], 'metrics': [], 'dates': ['2140']}"
":  Revenue  Fiscal Year (FY) 2019/20 2020/21 2021/22 2022/23 2023/24  Total (millions USD) $50,716 $60,742 $71,618 $61,947 $56,864  By geography (%)  Americas' 32% 31% 32% 34% 34%  Asia Pacific (excluding China) 22% 19% 16% 17% 18%  China 21% 24% 26% 24% 22%  EMEA?","{'numbers': ['2022/23 2023/24'], 'metrics': ['50,716', '71,618', '61,947', '56,864', '32%', '31%', '32%', '34%', '34%', '22%', '19%', '16%', '17%', '18%', '21%', '24%', '26%', '24%', '22%'], 'dates': ['Fiscal Year']}"
"25% 26% 26% 25% 26% ~ Americas - North America, Latin America  2 EMEA - Europe, Middle East, Africa  Employee representation  Employee representation  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Total number of employees 63,000 71,500 75,000 77,000 69,500'  By region?’  Americas 18% 14% 14% 14% 15%  Asia Pacific (excluding China) 12% 10% 1% 15% 15%  China 62% 69% 67% 62% 60%  EMEA 8% 7% 8% 9% 10%  Employees by gender?+  Male 64% 64% 63% 63% 63%  Female 36% 36% 37% 37% 37%  Employees in technical roles by gender?","{'numbers': ['2', '2022/23 2023/24'], 'metrics': ['25%', '26%', '26%', '25%', '26%', '63,000 71,500 75,000 77,000 69,500', '18%', '14%', '14%', '14%', '15%', '12%', '10%', '1%', '15%', '15%', '62%', '69%', '67%', '62%', '60%', '8%', '7%', '8%', '9%', '10%', '64%', '64%', '63%', '63%', '63%', '36%', '36%', '37%', '37%', '37%'], 'dates': []}"
"Male 72% 72% 71% 71% 71%  Female 28% 28% 29% 29% 29%  Executives by gender?+  Male 82% 79% 80% 79% 78%  Female 18% 21% 20% 21% 22%  Employees by employment type’  Regular employees n/a 73% 80% 89% 93%  Long-term plant contractors n/a 27% 20% 1% 7%  By age group7*  Under 30 years of age n/a 15% 15% 15% 14%  30-50 years of age n/a 73% 73% 72% 72%  Over 50 years of age n/a 12% 12% 13% 14%  ] On March 31, 2024, the Group had a headcount of approximately 69,500 worldwide.","{'numbers': ['approximately 69,500'], 'metrics': ['72%', '72%', '71%', '71%', '71%', '28%', '28%', '29%', '29%', '29%', '82%', '79%', '80%', '79%', '78%', '18%', '21%', '20%', '21%', '22%', '73%', '80%', '89%', '93%', '27%', '20%', '1%', '7%', '15%', '15%', '15%', '14%', '73%', '73%', '72%', '72%', '12%', '12%', '13%', '14%'], 'dates': ['Under 30 years of age', '30-50 years of age', '50 years of age', 'March 31, 2024']}"
2 Includes Lenovo regular employees only.,"{'numbers': ['2'], 'metrics': [], 'dates': []}"
Data excludes:  - Consultants and vendors working through a contract agency or third-party performing services or consulting on site for a brief  time and hence excluded from the scope.,"{'numbers': ['third'], 'metrics': [], 'dates': []}"
"- Contractors who usually perform non-critical, non-core jobs and their employment decisions, including pay and benefits, are  made by the third-party employer - and hence excluded from the scope.","{'numbers': ['third'], 'metrics': [], 'dates': []}"
3 Employment type and geographical data is aligned with the FY 2023/24 Financial Annual Report.,"{'numbers': ['3', '2023/24'], 'metrics': [], 'dates': []}"
4 Gender and age categories include an “undeclared” category representing less than 1% of the population.,"{'numbers': ['4'], 'metrics': ['less than 1%'], 'dates': []}"
"104 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  US employees by race/ethnic background (%)  Asian 17% 17% 17% 17% 17%  Black or African American 8% 8% 9% 9% 9%  Hispanic or Latinx 6% 6% 6% 7% 7%  White 66% 66% 65% 63% 63%  Remaining under-represented groups?","{'numbers': ['104', '2023/24'], 'metrics': ['17%', '17%', '17%', '17%', '17%', '8%', '8%', '9%', '9%', '9%', '6%', '6%', '7%', '7%', '66%', '65%', '63%', '63%'], 'dates': []}"
2% 2% 2% 3% 3%  No data 1% 1% 1% 1% 1%  US executives by race/ethnic background (%)  Asian 18% 18% 18% 20% 21%  Black or African American 3% 2% 2% 2% 2%  Hispanic or Latinx 6% 7% 8% 7% 5%  White 72% 72% 72% 70% 68%  Remaining under-represented groups?,"{'numbers': [], 'metrics': ['2%', '2%', '2%', '3%', '3%', '1%', '1%', '1%', '1%', '1%', '18%', '18%', '18%', '20%', '21%', '3%', '2%', '2%', '2%', '2%', '7%', '8%', '7%', '5%', '72%', '72%', '70%', '68%'], 'dates': []}"
1% 1% 1% 1% 1%  No data O% O% O% 1% 2%  US employees in technical roles by race/ethnic background (%)  Asian 27% 26% 26% 27% 26%  Black or African American 6% 7% 8% 8% 8%  Hispanic or Latinx 5% 5% 5% 5% 6%  White 60% 60% 58% 56% 55%  Remaining under-represented groups?,"{'numbers': [], 'metrics': ['1%', '1%', '1%', '1%', '1%', '1%', '2%', '27%', '26%', '26%', '27%', '26%', '6%', '7%', '8%', '8%', '8%', '5%', '5%', '5%', '6%', '60%', '60%', '58%', '56%', '55%'], 'dates': []}"
2% 2% 2% 2% 2%  No data 1% 1% 2% 2% 2%  ] Employee representation data includes Lenovo regular employees only.,"{'numbers': [], 'metrics': ['2%', '2%', '2%', '2%', '2%', '1%', '1%', '2%', '2%', '2%'], 'dates': []}"
"2 Remaining under-reopresented groups - Alaskan Native, Hawaiian, Pacific Islander, or Two or More Races.","{'numbers': ['2', 'Two'], 'metrics': [], 'dates': []}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 105  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Total turnover rate of employees 8% 8% 1% 7% 5%  By region?","{'numbers': ['2023/24', '105', '2022/23 2023/24'], 'metrics': ['8%', '8%', '1%', '7%', '5%'], 'dates': []}"
Americas n/a 6% 12% 8% 5%  Asia Pacific (excluding China) n/a 7% 1% 10% 8%  China n/a 10% 12% 6% 4%  EMEA n/a A% 7% 7% 5%  By gender*  Male n/a 8% 11% 7% 5%  Female n/a 8% 11% 7% 6%  By age group’  Under 30 years of age n/a 16% 21% 11% 9%  30-50 years of age n/a 7% 10% 7% 4%  Over 50 years of age n/a 3% 5% 5% 4%  ] Turnover rate data covers voluntary departure of Lenovo regular employees for the full FY 2023/24.,"{'numbers': ['2023/24'], 'metrics': ['6%', '12%', '8%', '5%', '7%', '1%', '10%', '8%', '10%', '12%', '6%', '4%', '7%', '7%', '5%', '8%', '11%', '7%', '5%', '8%', '11%', '7%', '6%', '16%', '21%', '11%', '9%', '7%', '10%', '7%', '4%', '3%', '5%', '5%', '4%'], 'dates': ['Under 30 years of age', '30-50 years of age', '50 years of age']}"
2 Employee turnover data includes Lenovo regular employees only.,"{'numbers': ['2'], 'metrics': [], 'dates': []}"
"- Contractors who usually perform non-critical, non-core jobs and their employment decisions, including pay and benefits, are  made by the third-party employer -and hence excluded from the scope.","{'numbers': ['third'], 'metrics': [], 'dates': []}"
3 Geographical data is aligned with the FY 2023/24 Financial Annual Report.,"{'numbers': ['3', '2023/24'], 'metrics': [], 'dates': []}"
"Employee training  Percentage of employees trained'2  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Percentage of total employees who took part in n/a n/a 73% 80% 98%  training®  By gender*  Male n/a n/a 41% 37% 36%  Female n/a n/a 58% 62% 62%  By employee category  Individual contributors and contractors n/a n/a 75% 78% 79%  Middle management n/a n/a 23% 21% 20%  Senior management or executives n/a n/a 2% 1% 1%  ] Compared to prior year, the presentation of these figures has changed to enhance transparency and ensure compliance; calculation  methodology remains the same.","{'numbers': [], 'metrics': ['73%', '80%', '98%', '41%', '37%', '36%', '58%', '62%', '62%', '75%', '78%', '79%', '23%', '21%', '20%', '2%', '1%', '1%'], 'dates': []}"
2 “n/a” for select metrics for previous year(s) due to a system change to enhance the Company’s training initiatives impacting data  availability from past year(s).,"{'numbers': ['2'], 'metrics': [], 'dates': []}"
3 Calculated as number of employees who took part in training via the Company’s learning platform “Grow@Lenovo” divided by the total  number of employees who have access to it at the end of fiscal year.,"{'numbers': ['3'], 'metrics': [], 'dates': ['the end of fiscal year']}"
4 Gender categories includes an “undeclared” category representing less than 3% of the population.,"{'numbers': ['4'], 'metrics': ['less than 3%'], 'dates': []}"
"106 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  Average number of training hours per employee?","{'numbers': ['106', '2023/24'], 'metrics': [], 'dates': []}"
"n/a n/a 5 6 9  By gender*  Male n/a n/a 7 8 9  Female n/a n/a 8 8 10  By employee category  Individual contributors and contractors n/a n/a 7 7 9  Middle management n/a n/a 9 8 11  Senior management or executives n/a n/a 7 5 9  ] Compared to prior year, the presentation of these figures has changed to enhance transparency and ensure compliance; calculation  methodology remains the same.","{'numbers': ['5', '7', '7', '9', '7'], 'metrics': [], 'dates': []}"
3 Calculated as total number of training hours via the Company’s learning platform “Grow@Lenovo” divided by the total number of  employees who have access to it at the end of fiscal year.,"{'numbers': ['3'], 'metrics': [], 'dates': ['hours', 'the end of fiscal year']}"
Occupational health and safety (OHS)  Occupational health and safety (OHS)  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Recordable rate 0.03 0.04 0.07 0.08 0.04  Number of employee fatalities O O O O .¢)  Number of contractor fatalities O O O ] ¢)  Fatal work injury rate!,"{'numbers': ['0.03'], 'metrics': [], 'dates': []}"
"0 0 0 0.002 @)  Lost days 82 143 384 324 174  Lost-time rate 0.03 0.03 0.05 0.05 0.03  Number of ISO 45001: 2018 registered facilities 1 1 1 15 12  Manufacturing employee health and safety training  Average number of hours of training per 35 52 35 45 49  manufacturing employee  ] Calculated by number of fatalities as a result of work-related injury/number of hours worked multiplied by 200,000  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 107  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Lenovo Foundation and Donor Advised Funds $482,887 $545,552 $872,068 $1,993,187 $743,751  China?","{'numbers': ['82', '0.03', '12', '35', '200,000', '2023/24', '107', '2022/23 2023/24'], 'metrics': ['0.03 0.05 0.05 0.03  Number of ISO 45001:', '482,887', '545,552', '872,068', '1,993,187', '743,751'], 'dates': ['2018', '1 1', 'hours', '35 45 49']}"
"$5,440,440 $2,778,093 $9,801,972 $11,606,068 $6,472,999  North America $4,788,665 $4,520,545 $4,996,881 $5,719,667 $5,459,863  Latin America® $2,507,863 $2,134,833 $1,200,680 $3,371,355 $1,350,623  EMEA $407,535 $988,612 $915,180 $2,320,280 $921,009  Asia Pacific (excluding China) $855,386 $863,638 $841,510 $1,516,954 $998,341  The Company's response to natural disasters is tracked at the business geography level.","{'numbers': [], 'metrics': ['$5,440,440 $', '2,778,093', '9,801,972', '11,606,068', '6,472,999', '$4,788,665 $4,520,545 $', '5,719,667', '5,459,863', '$2,507,863 $2,134,833 $', '1,200,680', '1,350,623', '407,535', '921,009', '$855,386 $', '863,638', '841,510', '1,516,954', '998,341'], 'dates': []}"
"KRWNH™  Employee volunteering and giving  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Employee volunteering hours (through efforts sponsored by Lenovo)  North America 9,838 4,161 5,873 13,093 18,537  Rest of world 17,046 15,335 77,564 34,96] 68,342  Estimated value’ of employee volunteer hours $1,156,022 $838,307 $3,587,791 $2,066,322 $3,735,797  Employee giving?","{'numbers': ['2022/23 2023/24', '9,838', '4,161', '5,873', '18,537', '17,046 15,335', '77,564', '68,342'], 'metrics': ['$1,156,022 $', '838,307', '2,066,322', '3,735,797'], 'dates': []}"
"Lenovo match of global employee donations $1,344,085 $1,541,679 $2,239,305 $1,813,404 $1,951,105  ] Calculated based on an entry level hourly wage of $43 per hour.","{'numbers': [], 'metrics': ['$1,344,085 $', '1,541,679', '2,239,305', '1,813,404', '1,951,105', '$43 per hour'], 'dates': ['hourly']}"
2 Represents the corporate match from the Company for employees around the world (not employees’ personal contributions).,"{'numbers': ['2'], 'metrics': [], 'dates': []}"
Contribution to and impact on communities  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Total contribution to communities!,"{'numbers': ['2022/23 2023/24'], 'metrics': [], 'dates': []}"
"$14,482,776 $11,831,274 $20,867,596 $28,340,914 $17,897,690  Estimated value?","{'numbers': [], 'metrics': ['$14,482,776 $', '11,831,274', '20,867,596', '28,340,914', '17,897,690'], 'dates': []}"
"of community impact through $16,982,883 $14,211,260 $24,455,388 $30,407,236 $21,633,488  philanthropy and volunteerism  ] Represents sum of cash contributions, product donations, and the Company's match of employee contributions.","{'numbers': [], 'metrics': ['$16,982,883 $', '14,211,260', '30,407,236', '21,633,488'], 'dates': []}"
2 Represents sum of estimated value of employee volunteerism.,"{'numbers': ['2'], 'metrics': [], 'dates': []}"
"""Love on” Annual Service Project  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Participating locations 54 52 79 73 66  Number of projects 86 132 117 126 135  Number of employee volunteers 2,855 3,120 3,653 3,747 4,940  Number of hours spent on direct, hands-on 13,355 19,267 13,538 16,180 25,236  service  Number of individuals directly impacted through 55,942 38,478 42,075 67,520 47,871  projects  108 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  FY 2019/20 2020/21 2021/22 2022/23 2023/24  Total GHG emissions by scope  Scope 1 7,766 7,269 6,069 6,303 4,969  Scope 2 (location-based) 162,597 177,678 191,778 202,440 196,859  Scope 2 (market-based) 23,852 21,519 21,160 19,540 17,997  Scope 1 and Scope 2 (location-based) 170,363 184,947 197,847 208,742 201,828  Scope 3 22,122,637 23,966,561 17,422,913 18,741,480 15,100,063  Scope 3 upstream categories 8,179,637 8,112,061 8,971,913 10,133,480 7,844,595  Scope 3 downstream categories 13,943,000 15,854,500 8,451000 8,608,000 7,255,468  Scope 3 emissions by category  Business Travel 46,900 11,900 20,255 38,846 41,630  Product Transportation?","{'numbers': ['2022/23 2023/24', '86', '117', '2,855', '3,653', '4,940', '13,355', '25,236', '55,942', '38,478', '67,520 47,871', '108', '2023/24', '2022/23 2023/24', '7,269', '6,069', '6,303 4,969', '162,597', '196,859', '23,852', '21,160', '19,540 17,997', '170,363', '208,742 201,828', '8,179,637', '10,133,480 7,844,595', '13,943,000 15,854,500', '7,255,468', '46,900', '41,630'], 'metrics': ['23,966,561 17,422,913 18,741,480 15,100,063', '8,971,913'], 'dates': ['54', '52', '79', '73 66']}"
"616,416 815,262 737,979 538,156 360,152  Emissions from Waste?","{'numbers': ['616,416', '538,156 360,152'], 'metrics': [], 'dates': []}"
"2,110 1,770 1,810 1,808 2,135  Employee Commuting 24,900 39,800 41,043 45,568 56,585  Purchased Goods and Services**> 7,032,426 6,495,779 7,798,826 8,662,378 6,507,693  Fuel- and Energy-Related Activities 10,385 11,050 12,000 12,924 12,700  (not included in Scope 1 or 2)  Use of Sold Products’ 13,669,000 =15,551.000 = 8,270,000 8,451,000 7,131,203  End of Life Treatment of Sold Products’ 274,000 303,500 181,000 157,000 124,265  Capital Goods® 446,500 736,500 360,000 833,800 863,700  Totals may differ from exact sums of individual figures due to rounding.","{'numbers': ['2,110', '1,810', '2,135', '24,900 39,800', '56,585', '7,032,426', '6,507,693', '10,385', '11,050', '12,000 12,924 12,700', '2', '13,669,000', '15,551.000', '8,270,000', '833,800 863,700'], 'metrics': ['274,000 303,500 181,000 157,000 124,265'], 'dates': []}"
"The calculation based on Global  Logistics Emission Council (GLEC) methodology and provided by the Company’s third-party service provider EcoTranslT, Ecotrans!T  tool aligns with WTW (Well-to-wheel) GHG emissions.","{'numbers': ['third'], 'metrics': [], 'dates': []}"
Includes warehouse emissions starting from FY 2022/23.,"{'numbers': ['2022/23'], 'metrics': [], 'dates': []}"
Updated emission factors were used in calculation for the Scope 3 Category 1 (Purchased Goods and Services) emission amount in FY  2023/24 to improve accuracy.,"{'numbers': ['2023/24'], 'metrics': [], 'dates': []}"
The emission amounts from previous years remain unchanged given the insignificance of the impact (less  than 0.55%) to the reported amounts.,"{'numbers': ['less  than'], 'metrics': [], 'dates': ['previous years']}"
Purchased good's and services include suppliers covering 100% of direct global suppliers soend.,"{'numbers': [], 'metrics': ['100%'], 'dates': []}"
"Due to data availability, emissions are  estimated based on procurement spending in FY 2022/23.","{'numbers': [], 'metrics': [], 'dates': ['FY 2022/23']}"
Emissions from capital goods are based on purchased capital goods in a given year.,"{'numbers': [], 'metrics': [], 'dates': ['a given year']}"
"The 2012 Guidelines to Defra GHG Conversion  Factors for Company Reporting, Annex 13 was used for emission factors for different type of capital goods adjusted for inflation rate  and exchange rate.","{'numbers': ['13'], 'metrics': [], 'dates': ['2012']}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 109  xIpueddy ssai6oid |qy Wa}-6u07 + sjebue] pue saniqoalqo ‘soueWOpLeEd SW SouUJeW pajepljosuoy uleyo Ajddns jeqojD + sedUeWIaAOH |elID0S jeJUsWUOIIAUQ Yoda siyj jnogy siaye] sAWNDeXy  Scope 1 and 2 (location-based) 3.36 3.04 2.76 3.37 3.55  Scope 1 emissions by market (MT CO,e)  Brazil 340 202 57 3] 23  Chinese Mainland 3,190 3,826 3,719 2,401 1,978  Taiwan, China O O - - 316  Germany 652 73) 831 720 650  Hungary - - 379 132 151  India 84 104 58 44 33  Japan 191 216 226 202 194  Mexico 625 97 80 340 151  United States 2,484 1,93] 525 896 697  Rest of the World!","{'numbers': ['2023/24', '109', '3.36', '2.76', '202', '57 3', '3,190', '3,719', '2,401 1,978', '652 73', '191 216', '202 194', '97', '151', '2,484 1,93', '525'], 'metrics': [], 'dates': ['58', '44 33', '80']}"
"200 162 195 158 776  Scope 2 emissions (location-based) by market (MT CO,e)  Brazil 1,566 1,321 1,561 1,087 1,525  Chinese Mainland 124,336 147,375 159,278 165,443 159,974  Taiwan, China 2,091 2,231 2,962 4,811 5,537  Germany 1,612 1,249 1,036 961 813  Hungary - - 1,219 2,080 1,840  India 2,914 2,690 2,954 2,817 3,138  Japan 5,754 5,133 4,794 4,552 4,374  Mexico 5,029 5,543 6,272 8,282 8,044  United States 15,220 8,939 8,489 9,640 8,690  Rest of the World!","{'numbers': ['200', '1,566', '1,321', '1,561 1,087', '1,525', '124,336 147,375', '159,278', '165,443 159,974', '2,091', '2,231', '2,962', '1,612', '1,249', '1,036', '2,080 1,840', '2,690', '2,954', '2,817', '5,754', '5,133', '4,374', '5,543', '6,272', '8,044', '15,220', '8,939'], 'metrics': ['5,537  Germany'], 'dates': []}"
"4,075 3,197 3,412 2,/68 2,924  Scope 3 emissions - Product transportation by transportation mode (MT CO.e)?","{'numbers': ['4,075 3,197', '3,412', '2,924'], 'metrics': [], 'dates': []}"
"Air 496,367 744,009 657,882 477,172 312,443  Rail and inland waterways 8,232 14,702 5,623 332 261  Roadways 105,999 45,071 67,091 51,426 30,887  Sea 5,817 11,480 7,383 8,516 16,561  7 Brazil, Germany, Hungary, India, Japan, Mexico, United States, Chinese mainland, and Taiwan, China represent manufacturing and R&D  sites in these markets.","{'numbers': ['496,367', '657,882', '8,232 14,702', '5,623', '30,887', '7,383', '8,516', '16,561', '7'], 'metrics': ['477,172 312,443  Rail'], 'dates': []}"
2 This metric includes warehouse emissions starting from FY 2023/24.,"{'numbers': [], 'metrics': ['2 This metric'], 'dates': ['FY 2023/24']}"
"N10 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  Energy consumption (MWh)'  Total energy consumption 327,798 346,683 366,885 392,825 377,338  Direct (Fuel combustion) 35,152 33,157 24,546 29,165 22,760  By Source (Fuel detail):  Stationary combustion:  Gas/diesel oil 1,789 2,698 1,405 1,978 1,765  Natural gas 32,049 29,533 21,599 20,310 17,454  Liquefied petroleum gas 452 404 389 34] 272  Mobile combustion:  On road diesel fuel 223 174 442 530 452  Gasoline/petrol 309 277 415 326 270  Liquefied petroleum gas 72 66 3] 25 14  Compressed natural gas - - - - -  Jet Kerosene 258 6 264 5,654 2,533  Indirect (Purchased energy)?","{'numbers': ['2023/24', '327,798', '346,683 366,885', '392,825 377,338', '35,152', '29,165 22,760', '1,789', '1,405', '1,978', '1,765', '32,049', '21,599', '20,310 17,454', '452', '404', '389 34', '272', '223', '309', '270', '72', '66 3'], 'metrics': [], 'dates': ['33,157']}"
"292,645.18 315,526.43 342,340 363,660 354,578  Electricity 272,150 292,751 323,663 349,118 337,276  Steam 18,348 19,470 17,281 13,964 16,724  Cooling 2,148 1,306 1,395 578 578  Energy consumption (gigajoules)'  Total energy consumption 1,180,071 1,248,059 1,320,787 1,414,169 1,358,417  Direct (Fuel combustion) 126,548 119,364 88,364 104,994 81,936  By Source (Fuel detail):  Stationary combustion:  Gas/diesel oil 6,442 9,712 5,058 7,122 6,354  Natural gas 115,375 106,317 77,757 73,118 62,835  Liquefied petroleum gas 1,628 1,454 1,401 1,227 977  Mobile combustion:  On road diesel fuel 801 626 1,593 1,909 1,626  Gasoline/petrol 1,112 996 1,492 1,174 973  Liquefied petroleum gas 260 236 N12 91 51  Compressed natural gas - - - - -  Jet Kerosene 930 21 952 20,353 9,120  Indirect (Purchased energy)?","{'numbers': ['292,645.18', '354,578', '272,150', '323,663', '349,118 337,276', '18,348', '19,470', '17,281', '13,964 16,724', '2,148', '1,395', '1,180,071', '1,248,059', '1,320,787', '1,414,169 1,358,417', '126,548', '6,442', '7,122 6,354', '115,375', '77,757 73,118 62,835', '1,628', '1,454', '1,401', '977', '801', '1,909 1,626', '1,112', '1,492', '1,174', '260', '236', '91 51', '20,353', '9,120'], 'metrics': ['106,317'], 'dates': []}"
"1,053,522 1,128,696 1,232,422 1,309,174 1,276,481  Electricity 979,740 1,053,903 1,165,186 1,256,824 1,214,193  Steam 66,051 70,092 62,213 50,269 60,207  Cooling 7,73) 4,701 5,023 2,081 2,081  Totals may differ from exact sums of individual figures due to rounding.","{'numbers': ['1,053,522', '1,128,696', '1,309,174 1,276,481', '1,256,824 1,214,193', '4,701', '2,081', '2,081'], 'metrics': [], 'dates': ['1,232,422']}"
Approximately less than 1% of purchased energy (electricity) is estimated based on energy use at the Company's similar facilities with  metered usage.,"{'numbers': ['Approximately less than'], 'metrics': [], 'dates': []}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report mm  xIpueddy ssai6oid |qy Wa}-6u07 + sjebue] pue saniqoalqo ‘soueWOpLeEd SW SouUJeW pajepljosuoy uleyo Ajddns jeqojD + sedUeWIaAOH |elID0S jeJUsWUOIIAUQ Yoda siyj jnogy siaye] sAWNDeXy  Solar Energy (MWh) 4,226 9,065 9,360 13,333 16,956  Generation Capacity (MW)!","{'numbers': ['2023/24', '4,226', '9,065', '13,333 16,956'], 'metrics': [], 'dates': []}"
"16 16 17 17 25  Renewable Electricity Rate (%) 83 88 91 90 92  Energy intensity (MWh per US$ million revenue)  Direct energy (Fuel combustion) 0.69 0.55 0.34 0.47 0.40  Indirect energy (Purchased energy) 5.77 5.36 4.78 5.87 6.24  ] Renewable energy generation capacity includes electric solar panels installed on buildings/plants in Hefei, Wuhan, Shenzhen, and  Tiaryin, China and Morrisville and Whitsett, NC, USA and Budapest, Hungary.","{'numbers': ['16', '17 25', '83', '0.69', '0.47 0.40', '5.77', '5.36'], 'metrics': ['million'], 'dates': ['90 92']}"
Calendar Year (CY) 2019 2020 2021 2022 2023)  ENERGY STAR‘ certified products availability (percentage of product)  Notebook Platforms 93% 98% 92% 90% 91%  Desktop Platforms?,"{'numbers': [], 'metrics': ['93%', '98%', '92%', '90%', '91%'], 'dates': ['2019 2020', '2022 2023']}"
"97% 97% 98% 83% 82%  Workstation Platforms 90% 98% 100% 100% 100%  Server Platforms® 94% 90% 94% 92% 82%  Monitors4 94% 90% 80% 69% 50%  7 In CY 2023 100% of the Company’s Commercial Notebooks (ThinkPad) and Desktops (ThinkCentre), and 97% of its Commercial  Monitors (ThinkVision) are ENERGY STAR certified.","{'numbers': [], 'metrics': ['97%', '97%', '98%', '83%', '82%', '90%', '98%', '100%', '100%', '100%', '94%', '90%', '94%', '92%', '82%  Monitors4 94%', '90%', '80%', '69%', '50%', '2023 100%', '97%'], 'dates': []}"
2 The downward trend over the years can be attributed to an expanded line of gaming system desktop systems and the Company  deciding not to obtain certification for some products based on low demand for certification and cost factors.,"{'numbers': ['2'], 'metrics': [], 'dates': ['the years']}"
3 The CY 2023 decrease in percent of server platforms can be attributed to the Company deciding not to obtain certification of some  server systems based on low demand for certification and cost factors.,"{'numbers': ['3'], 'metrics': [], 'dates': ['2023']}"
"4 The CY 2021 decrease in percent of monitors was associated with an expanded line of low cost, entry-level consumer displays.","{'numbers': ['4'], 'metrics': [], 'dates': ['2021']}"
The CY  2023 decrease can be attributed to an expanded line of gaming displays and also the Company deciding not to obtain certification for  some products based on low demand for certification and cost factors.,"{'numbers': [], 'metrics': [], 'dates': ['2023']}"
"112 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  Waste by category (metric tons)  Non-hazardous waste?","{'numbers': ['112', '2023/24'], 'metrics': [], 'dates': []}"
"43,023 51,648 49,403 50,420 47,780  Hazardous waste* 74 37 125 679 672  Total n/a 51,685 49,528 51,099 48,452  Total diverted from disposal n/a 46,198 43,705 44,644 42,362  Total directed to disposal n/a 5,487 5,823 6,455 6,090  Waste diverted from disposal by recovery operation (metric tons)*  Total non-hazardous waste diverted for recovery n/a 46,195 43,656 44,056 42,002  Resale/Reuse n/a 28,099 24,599 23,072 21,937  Recycling® n/a 18,096 19,056 20,984 20,065  Total hazardous waste diverted for recovery® n/a 3 49 588 360  Waste directed to disposal by disposal operation (metric tons)’  Total non-hazardous waste n/a 5,453 5,747 6,364 5,778  Incineration n/a 27 776 2,537 2,827  Incineration with energy recovery n/a 3,093 3,262 3,075 1,674  Landfilling n/a 2,534 1,709 952 1,277  Total hazardous waste n/a 34 76 9] 312  Incineration n/a 28 73 75 289  Landfilling n/a 0.09 O 0.6 0.02  Treatment n/a 6 3 16 23  ] The Company’s day-to-day operations around the globe generate nonhazardous waste and minimal quantities of hazardous waste.","{'numbers': ['43,023', '49,403', '50,420 47,780', '74', '679 672', '51,685', '48,452', '46,198', '44,644 42,362', '5,487', '6,455 6,090', '46,195', '44,056 42,002', '28,099', '21,937', '18,096', '20,984 20,065', '3', '588 360  Waste', '5,453', '27', '3,093', '3,262', '1,674', '2,534', '952 1,277', '34', '28', '0.09', '0.6 0.02', '6'], 'metrics': [], 'dates': ['37', '43,705', '76', '75']}"
2 E-waste generated at the Company’s sites fs also included in PELM data.,"{'numbers': ['2'], 'metrics': [], 'dates': []}"
3 Batteries collected at the Company's sites are also included in the PELM data.,"{'numbers': ['3'], 'metrics': [], 'dates': []}"
"4 The Company does not operate any onsite recovery operations, all wastes are separated onsite to be collected by third-parties for  recovery offsite.","{'numbers': ['4', 'third'], 'metrics': [], 'dates': []}"
6 All hazardous waste diverted for recovery was diverted for recycling.,"{'numbers': ['6'], 'metrics': [], 'dates': []}"
7 The Company does not operate any onsite disposal operations; all wastes are separated onsite to be collected by third-parties for  cisposal offsite.,"{'numbers': ['7', 'third'], 'metrics': [], 'dates': []}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 113  xIpueddy ssai6oid |qy Wa}-6u07 + sjebue] pue saniqoalqo ‘soueWOpLeEd SW SouUJeW pajepljosuoy uleyo Ajddns jeqojD + sedUeWIaAOH |elID0S jeJUsWUOIIAUQ Yoda siyj jnogy siaye] sAWNDeXy  Water withdrawal (megaliters)  All areas""?","{'numbers': ['2023/24', '113'], 'metrics': [], 'dates': []}"
"1,307 1,428 1,567 1,499 1,420  By source (% of total):  Groundwater n/a <1% <1% <1% <1%  Third parties n/a >99% >99% >99% >99%  Areas with water stress?","{'numbers': ['1,307', '1,428', '1,567', '1,420'], 'metrics': ['1% <1% <1% <1%', '99% >99% >99% >99%'], 'dates': []}"
